Model,Test Accuracy,Test Precision,Test Recall,Test F1,Test ROC-AUC,CV Accuracy Mean,CV Accuracy Std
Logistic Regression,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666666,0.9577922077922079,0.8263605442176871,0.02821361425025097
Random Forest,0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033899,0.9577922077922079,0.8139455782312925,0.019460717227710093
XGBoost,0.8688524590163934,0.8333333333333334,0.8928571428571429,0.8620689655172413,0.9415584415584415,0.8345238095238094,0.03263955042194909
